SKU,Title,Brand,Primary image,Supplier 1,Supplier 1 URL,Supplier 2,Supplier 2 URL,Supplier 3,Supplier 3 URL,Notes
DROP8-001-VALE-01-4596,Valentino Uomo Born In Roma Travel Spray 10ml,Valentino,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+Travel+Spray+10ml,FragranceX,https://www.fragrancex.com/search/search_results?search=Valentino+Uomo+Born+In+Roma+Travel+Spray+10ml,Perfume.com,https://www.perfume.com/search?keyword=Valentino+Uomo+Born+In+Roma+Travel+Spray+10ml,Search links provided for third-party sourcing checks before listing.
DROP8-002-VALE-02-4596,Valentino Uomo Born In Roma 30ml,Valentino,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+30ml,FragranceX,https://www.fragrancex.com/search/search_results?search=Valentino+Uomo+Born+In+Roma+30ml,Perfume.com,https://www.perfume.com/search?keyword=Valentino+Uomo+Born+In+Roma+30ml,Search links provided for third-party sourcing checks before listing.
DROP8-003-VALE-03-4596,Valentino Uomo Born In Roma 50ml,Valentino,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+50ml,FragranceX,https://www.fragrancex.com/search/search_results?search=Valentino+Uomo+Born+In+Roma+50ml,Perfume.com,https://www.perfume.com/search?keyword=Valentino+Uomo+Born+In+Roma+50ml,Search links provided for third-party sourcing checks before listing.
DROP8-004-VALE-04-4596,Valentino Uomo Born In Roma 100ml,Valentino,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+100ml,FragranceX,https://www.fragrancex.com/search/search_results?search=Valentino+Uomo+Born+In+Roma+100ml,Perfume.com,https://www.perfume.com/search?keyword=Valentino+Uomo+Born+In+Roma+100ml,Search links provided for third-party sourcing checks before listing.
DROP8-005-VALE-05-4596,Valentino Uomo Born In Roma 150ml,Valentino,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+150ml,FragranceX,https://www.fragrancex.com/search/search_results?search=Valentino+Uomo+Born+In+Roma+150ml,Perfume.com,https://www.perfume.com/search?keyword=Valentino+Uomo+Born+In+Roma+150ml,Search links provided for third-party sourcing checks before listing.
DROP8-006-VALE-06-4596,Valentino Uomo Born In Roma 200ml,Valentino,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+200ml,FragranceX,https://www.fragrancex.com/search/search_results?search=Valentino+Uomo+Born+In+Roma+200ml,Perfume.com,https://www.perfume.com/search?keyword=Valentino+Uomo+Born+In+Roma+200ml,Search links provided for third-party sourcing checks before listing.
DROP8-007-VALE-07-4596,Valentino Uomo Born In Roma Gift Set,Valentino,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+Gift+Set,FragranceX,https://www.fragrancex.com/search/search_results?search=Valentino+Uomo+Born+In+Roma+Gift+Set,Perfume.com,https://www.perfume.com/search?keyword=Valentino+Uomo+Born+In+Roma+Gift+Set,Search links provided for third-party sourcing checks before listing.
DROP8-008-VALE-08-4596,Valentino Uomo Born In Roma Holiday Box,Valentino,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+Holiday+Box,FragranceX,https://www.fragrancex.com/search/search_results?search=Valentino+Uomo+Born+In+Roma+Holiday+Box,Perfume.com,https://www.perfume.com/search?keyword=Valentino+Uomo+Born+In+Roma+Holiday+Box,Search links provided for third-party sourcing checks before listing.
DROP8-009-VALE-09-4596,Valentino Uomo Born In Roma Limited Edition,Valentino,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+Limited+Edition,FragranceX,https://www.fragrancex.com/search/search_results?search=Valentino+Uomo+Born+In+Roma+Limited+Edition,Perfume.com,https://www.perfume.com/search?keyword=Valentino+Uomo+Born+In+Roma+Limited+Edition,Search links provided for third-party sourcing checks before listing.
DROP8-010-VALE-10-4596,Valentino Uomo Born In Roma Refill,Valentino,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+Refill,FragranceX,https://www.fragrancex.com/search/search_results?search=Valentino+Uomo+Born+In+Roma+Refill,Perfume.com,https://www.perfume.com/search?keyword=Valentino+Uomo+Born+In+Roma+Refill,Search links provided for third-party sourcing checks before listing.
DROP8-011-VALE-11-4596,Valentino Uomo Born In Roma Duo Pack,Valentino,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+Duo+Pack,FragranceX,https://www.fragrancex.com/search/search_results?search=Valentino+Uomo+Born+In+Roma+Duo+Pack,Perfume.com,https://www.perfume.com/search?keyword=Valentino+Uomo+Born+In+Roma+Duo+Pack,Search links provided for third-party sourcing checks before listing.
DROP8-012-VALE-12-4596,Valentino Uomo Born In Roma Collector Edition,Valentino,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+Collector+Edition,FragranceX,https://www.fragrancex.com/search/search_results?search=Valentino+Uomo+Born+In+Roma+Collector+Edition,Perfume.com,https://www.perfume.com/search?keyword=Valentino+Uomo+Born+In+Roma+Collector+Edition,Search links provided for third-party sourcing checks before listing.
DROP8-013-DIOR-01-8046,Dior Sauvage Eau Forte Travel Spray 10ml,Dior,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Dior+Sauvage+Eau+Forte+Travel+Spray+10ml,FragranceX,https://www.fragrancex.com/search/search_results?search=Dior+Sauvage+Eau+Forte+Travel+Spray+10ml,Perfume.com,https://www.perfume.com/search?keyword=Dior+Sauvage+Eau+Forte+Travel+Spray+10ml,Search links provided for third-party sourcing checks before listing.
DROP8-014-DIOR-02-8046,Dior Sauvage Eau Forte 30ml,Dior,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Dior+Sauvage+Eau+Forte+30ml,FragranceX,https://www.fragrancex.com/search/search_results?search=Dior+Sauvage+Eau+Forte+30ml,Perfume.com,https://www.perfume.com/search?keyword=Dior+Sauvage+Eau+Forte+30ml,Search links provided for third-party sourcing checks before listing.
DROP8-015-DIOR-03-8046,Dior Sauvage Eau Forte 50ml,Dior,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Dior+Sauvage+Eau+Forte+50ml,FragranceX,https://www.fragrancex.com/search/search_results?search=Dior+Sauvage+Eau+Forte+50ml,Perfume.com,https://www.perfume.com/search?keyword=Dior+Sauvage+Eau+Forte+50ml,Search links provided for third-party sourcing checks before listing.
DROP8-016-DIOR-04-8046,Dior Sauvage Eau Forte 100ml,Dior,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Dior+Sauvage+Eau+Forte+100ml,FragranceX,https://www.fragrancex.com/search/search_results?search=Dior+Sauvage+Eau+Forte+100ml,Perfume.com,https://www.perfume.com/search?keyword=Dior+Sauvage+Eau+Forte+100ml,Search links provided for third-party sourcing checks before listing.
DROP8-017-DIOR-05-8046,Dior Sauvage Eau Forte 150ml,Dior,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Dior+Sauvage+Eau+Forte+150ml,FragranceX,https://www.fragrancex.com/search/search_results?search=Dior+Sauvage+Eau+Forte+150ml,Perfume.com,https://www.perfume.com/search?keyword=Dior+Sauvage+Eau+Forte+150ml,Search links provided for third-party sourcing checks before listing.
DROP8-018-DIOR-06-8046,Dior Sauvage Eau Forte 200ml,Dior,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Dior+Sauvage+Eau+Forte+200ml,FragranceX,https://www.fragrancex.com/search/search_results?search=Dior+Sauvage+Eau+Forte+200ml,Perfume.com,https://www.perfume.com/search?keyword=Dior+Sauvage+Eau+Forte+200ml,Search links provided for third-party sourcing checks before listing.
DROP8-019-DIOR-07-8046,Dior Sauvage Eau Forte Gift Set,Dior,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Dior+Sauvage+Eau+Forte+Gift+Set,FragranceX,https://www.fragrancex.com/search/search_results?search=Dior+Sauvage+Eau+Forte+Gift+Set,Perfume.com,https://www.perfume.com/search?keyword=Dior+Sauvage+Eau+Forte+Gift+Set,Search links provided for third-party sourcing checks before listing.
DROP8-020-DIOR-08-8046,Dior Sauvage Eau Forte Holiday Box,Dior,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Dior+Sauvage+Eau+Forte+Holiday+Box,FragranceX,https://www.fragrancex.com/search/search_results?search=Dior+Sauvage+Eau+Forte+Holiday+Box,Perfume.com,https://www.perfume.com/search?keyword=Dior+Sauvage+Eau+Forte+Holiday+Box,Search links provided for third-party sourcing checks before listing.
DROP8-021-DIOR-09-8046,Dior Sauvage Eau Forte Limited Edition,Dior,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Dior+Sauvage+Eau+Forte+Limited+Edition,FragranceX,https://www.fragrancex.com/search/search_results?search=Dior+Sauvage+Eau+Forte+Limited+Edition,Perfume.com,https://www.perfume.com/search?keyword=Dior+Sauvage+Eau+Forte+Limited+Edition,Search links provided for third-party sourcing checks before listing.
DROP8-022-DIOR-10-8046,Dior Sauvage Eau Forte Refill,Dior,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Dior+Sauvage+Eau+Forte+Refill,FragranceX,https://www.fragrancex.com/search/search_results?search=Dior+Sauvage+Eau+Forte+Refill,Perfume.com,https://www.perfume.com/search?keyword=Dior+Sauvage+Eau+Forte+Refill,Search links provided for third-party sourcing checks before listing.
DROP8-023-DIOR-11-8046,Dior Sauvage Eau Forte Duo Pack,Dior,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Dior+Sauvage+Eau+Forte+Duo+Pack,FragranceX,https://www.fragrancex.com/search/search_results?search=Dior+Sauvage+Eau+Forte+Duo+Pack,Perfume.com,https://www.perfume.com/search?keyword=Dior+Sauvage+Eau+Forte+Duo+Pack,Search links provided for third-party sourcing checks before listing.
DROP8-024-DIOR-12-8046,Dior Sauvage Eau Forte Collector Edition,Dior,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Dior+Sauvage+Eau+Forte+Collector+Edition,FragranceX,https://www.fragrancex.com/search/search_results?search=Dior+Sauvage+Eau+Forte+Collector+Edition,Perfume.com,https://www.perfume.com/search?keyword=Dior+Sauvage+Eau+Forte+Collector+Edition,Search links provided for third-party sourcing checks before listing.
DROP8-025-YVES-01-6176,Y Eau de Parfum Travel Spray 10ml,Yves Saint Laurent,https://cdn.fragrancenet.com/images/photos/900x900/325122.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Y+Eau+de+Parfum+Travel+Spray+10ml,FragranceX,https://www.fragrancex.com/search/search_results?search=Y+Eau+de+Parfum+Travel+Spray+10ml,Perfume.com,https://www.perfume.com/search?keyword=Y+Eau+de+Parfum+Travel+Spray+10ml,Search links provided for third-party sourcing checks before listing.
DROP8-026-YVES-02-6176,Y Eau de Parfum 30ml,Yves Saint Laurent,https://cdn.fragrancenet.com/images/photos/900x900/325122.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Y+Eau+de+Parfum+30ml,FragranceX,https://www.fragrancex.com/search/search_results?search=Y+Eau+de+Parfum+30ml,Perfume.com,https://www.perfume.com/search?keyword=Y+Eau+de+Parfum+30ml,Search links provided for third-party sourcing checks before listing.
DROP8-027-YVES-03-6176,Y Eau de Parfum 50ml,Yves Saint Laurent,https://cdn.fragrancenet.com/images/photos/900x900/325122.jpg,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Y+Eau+de+Parfum+50ml,FragranceX,https://www.fragrancex.com/search/search_results?search=Y+Eau+de+Parfum+50ml,Perfume.com,https://www.perfume.com/search?keyword=Y+Eau+de+Parfum+50ml,Search links provided for third-party sourcing checks before listing.
