SKU,Title,URL handle,Description,Price,Compare-at price,Inventory quantity,Product image URL,Status,Tags
WATCH-0001,Classic Silver Watch 01,classic-silver-watch-01,Classic watch in silver finish. Great for daily wear and gifting.,49.99,64.99,11,https://picsum.photos/seed/watch-0001/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0002,Minimal Gold Watch 02,minimal-gold-watch-02,Minimal watch in gold finish. Great for daily wear and gifting.,52.04,67.65,12,https://picsum.photos/seed/watch-0002/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0003,Modern Rose Gold Watch 03,modern-rose-gold-watch-03,Modern watch in rose gold finish. Great for daily wear and gifting.,54.09,70.32,13,https://picsum.photos/seed/watch-0003/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0004,Luxury Black Watch 04,luxury-black-watch-04,Luxury watch in black finish. Great for daily wear and gifting.,56.14,72.98,14,https://picsum.photos/seed/watch-0004/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0005,Everyday Steel Watch 05,everyday-steel-watch-05,Everyday watch in steel finish. Great for daily wear and gifting.,58.20,75.66,15,https://picsum.photos/seed/watch-0005/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0006,Premium Silver Watch 06,premium-silver-watch-06,Premium watch in silver finish. Great for daily wear and gifting.,60.25,78.33,16,https://picsum.photos/seed/watch-0006/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0007,Classic Gold Watch 07,classic-gold-watch-07,Classic watch in gold finish. Great for daily wear and gifting.,62.30,80.99,17,https://picsum.photos/seed/watch-0007/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0008,Minimal Rose Gold Watch 08,minimal-rose-gold-watch-08,Minimal watch in rose gold finish. Great for daily wear and gifting.,64.35,83.66,18,https://picsum.photos/seed/watch-0008/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0009,Modern Black Watch 09,modern-black-watch-09,Modern watch in black finish. Great for daily wear and gifting.,66.40,86.32,19,https://picsum.photos/seed/watch-0009/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0010,Luxury Steel Watch 10,luxury-steel-watch-10,Luxury watch in steel finish. Great for daily wear and gifting.,68.45,88.99,20,https://picsum.photos/seed/watch-0010/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0011,Everyday Silver Watch 11,everyday-silver-watch-11,Everyday watch in silver finish. Great for daily wear and gifting.,70.50,91.65,21,https://picsum.photos/seed/watch-0011/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0012,Premium Gold Watch 12,premium-gold-watch-12,Premium watch in gold finish. Great for daily wear and gifting.,72.55,94.31,22,https://picsum.photos/seed/watch-0012/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0013,Classic Rose Gold Watch 13,classic-rose-gold-watch-13,Classic watch in rose gold finish. Great for daily wear and gifting.,74.61,96.99,23,https://picsum.photos/seed/watch-0013/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0014,Minimal Black Watch 14,minimal-black-watch-14,Minimal watch in black finish. Great for daily wear and gifting.,76.66,99.66,24,https://picsum.photos/seed/watch-0014/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0015,Modern Steel Watch 15,modern-steel-watch-15,Modern watch in steel finish. Great for daily wear and gifting.,78.71,102.32,25,https://picsum.photos/seed/watch-0015/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0016,Luxury Silver Watch 16,luxury-silver-watch-16,Luxury watch in silver finish. Great for daily wear and gifting.,80.76,104.99,26,https://picsum.photos/seed/watch-0016/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0017,Everyday Gold Watch 17,everyday-gold-watch-17,Everyday watch in gold finish. Great for daily wear and gifting.,82.81,107.65,27,https://picsum.photos/seed/watch-0017/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0018,Premium Rose Gold Watch 18,premium-rose-gold-watch-18,Premium watch in rose gold finish. Great for daily wear and gifting.,84.86,110.32,28,https://picsum.photos/seed/watch-0018/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0019,Classic Black Watch 19,classic-black-watch-19,Classic watch in black finish. Great for daily wear and gifting.,86.91,112.98,29,https://picsum.photos/seed/watch-0019/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0020,Minimal Steel Watch 20,minimal-steel-watch-20,Minimal watch in steel finish. Great for daily wear and gifting.,88.96,115.65,30,https://picsum.photos/seed/watch-0020/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0021,Modern Silver Watch 21,modern-silver-watch-21,Modern watch in silver finish. Great for daily wear and gifting.,91.02,118.33,31,https://picsum.photos/seed/watch-0021/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0022,Luxury Gold Watch 22,luxury-gold-watch-22,Luxury watch in gold finish. Great for daily wear and gifting.,93.07,120.99,32,https://picsum.photos/seed/watch-0022/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0023,Everyday Rose Gold Watch 23,everyday-rose-gold-watch-23,Everyday watch in rose gold finish. Great for daily wear and gifting.,95.12,123.66,33,https://picsum.photos/seed/watch-0023/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0024,Premium Black Watch 24,premium-black-watch-24,Premium watch in black finish. Great for daily wear and gifting.,97.17,126.32,34,https://picsum.photos/seed/watch-0024/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0025,Classic Steel Watch 25,classic-steel-watch-25,Classic watch in steel finish. Great for daily wear and gifting.,99.22,128.99,35,https://picsum.photos/seed/watch-0025/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0026,Minimal Silver Watch 26,minimal-silver-watch-26,Minimal watch in silver finish. Great for daily wear and gifting.,101.27,131.65,36,https://picsum.photos/seed/watch-0026/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0027,Modern Gold Watch 27,modern-gold-watch-27,Modern watch in gold finish. Great for daily wear and gifting.,103.32,134.32,37,https://picsum.photos/seed/watch-0027/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0028,Luxury Rose Gold Watch 28,luxury-rose-gold-watch-28,Luxury watch in rose gold finish. Great for daily wear and gifting.,105.37,136.98,38,https://picsum.photos/seed/watch-0028/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0029,Everyday Black Watch 29,everyday-black-watch-29,Everyday watch in black finish. Great for daily wear and gifting.,107.43,139.66,39,https://picsum.photos/seed/watch-0029/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0030,Premium Steel Watch 30,premium-steel-watch-30,Premium watch in steel finish. Great for daily wear and gifting.,109.48,142.32,40,https://picsum.photos/seed/watch-0030/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0031,Classic Silver Watch 31,classic-silver-watch-31,Classic watch in silver finish. Great for daily wear and gifting.,111.53,144.99,41,https://picsum.photos/seed/watch-0031/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0032,Minimal Gold Watch 32,minimal-gold-watch-32,Minimal watch in gold finish. Great for daily wear and gifting.,113.58,147.65,42,https://picsum.photos/seed/watch-0032/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0033,Modern Rose Gold Watch 33,modern-rose-gold-watch-33,Modern watch in rose gold finish. Great for daily wear and gifting.,115.63,150.32,43,https://picsum.photos/seed/watch-0033/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0034,Luxury Black Watch 34,luxury-black-watch-34,Luxury watch in black finish. Great for daily wear and gifting.,117.68,152.98,44,https://picsum.photos/seed/watch-0034/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0035,Everyday Steel Watch 35,everyday-steel-watch-35,Everyday watch in steel finish. Great for daily wear and gifting.,119.73,155.65,10,https://picsum.photos/seed/watch-0035/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0036,Premium Silver Watch 36,premium-silver-watch-36,Premium watch in silver finish. Great for daily wear and gifting.,121.78,158.31,11,https://picsum.photos/seed/watch-0036/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0037,Classic Gold Watch 37,classic-gold-watch-37,Classic watch in gold finish. Great for daily wear and gifting.,123.84,160.99,12,https://picsum.photos/seed/watch-0037/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0038,Minimal Rose Gold Watch 38,minimal-rose-gold-watch-38,Minimal watch in rose gold finish. Great for daily wear and gifting.,125.89,163.66,13,https://picsum.photos/seed/watch-0038/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0039,Modern Black Watch 39,modern-black-watch-39,Modern watch in black finish. Great for daily wear and gifting.,127.94,166.32,14,https://picsum.photos/seed/watch-0039/1200/1200,active,"watch,jewelry,timepiece"
WATCH-0040,Luxury Steel Watch 40,luxury-steel-watch-40,Luxury watch in steel finish. Great for daily wear and gifting.,129.99,168.99,15,https://picsum.photos/seed/watch-0040/1200/1200,active,"watch,jewelry,timepiece"
RING-0001,Classic Silver Ring 01,classic-silver-ring-01,Classic ring in silver finish. Great for daily wear and gifting.,14.99,19.49,11,https://picsum.photos/seed/ring-0001/1200/1200,active,"ring,jewelry"
RING-0002,Minimal Gold Ring 02,minimal-gold-ring-02,Minimal ring in gold finish. Great for daily wear and gifting.,16.83,21.88,12,https://picsum.photos/seed/ring-0002/1200/1200,active,"ring,jewelry"
RING-0003,Modern Rose Gold Ring 03,modern-rose-gold-ring-03,Modern ring in rose gold finish. Great for daily wear and gifting.,18.67,24.27,13,https://picsum.photos/seed/ring-0003/1200/1200,active,"ring,jewelry"
RING-0004,Luxury Black Ring 04,luxury-black-ring-04,Luxury ring in black finish. Great for daily wear and gifting.,20.52,26.68,14,https://picsum.photos/seed/ring-0004/1200/1200,active,"ring,jewelry"
RING-0005,Everyday Steel Ring 05,everyday-steel-ring-05,Everyday ring in steel finish. Great for daily wear and gifting.,22.36,29.07,15,https://picsum.photos/seed/ring-0005/1200/1200,active,"ring,jewelry"
RING-0006,Premium Silver Ring 06,premium-silver-ring-06,Premium ring in silver finish. Great for daily wear and gifting.,24.20,31.46,16,https://picsum.photos/seed/ring-0006/1200/1200,active,"ring,jewelry"
RING-0007,Classic Gold Ring 07,classic-gold-ring-07,Classic ring in gold finish. Great for daily wear and gifting.,26.04,33.85,17,https://picsum.photos/seed/ring-0007/1200/1200,active,"ring,jewelry"
RING-0008,Minimal Rose Gold Ring 08,minimal-rose-gold-ring-08,Minimal ring in rose gold finish. Great for daily wear and gifting.,27.88,36.24,18,https://picsum.photos/seed/ring-0008/1200/1200,active,"ring,jewelry"
RING-0009,Modern Black Ring 09,modern-black-ring-09,Modern ring in black finish. Great for daily wear and gifting.,29.73,38.65,19,https://picsum.photos/seed/ring-0009/1200/1200,active,"ring,jewelry"
RING-0010,Luxury Steel Ring 10,luxury-steel-ring-10,Luxury ring in steel finish. Great for daily wear and gifting.,31.57,41.04,20,https://picsum.photos/seed/ring-0010/1200/1200,active,"ring,jewelry"
RING-0011,Everyday Silver Ring 11,everyday-silver-ring-11,Everyday ring in silver finish. Great for daily wear and gifting.,33.41,43.43,21,https://picsum.photos/seed/ring-0011/1200/1200,active,"ring,jewelry"
RING-0012,Premium Gold Ring 12,premium-gold-ring-12,Premium ring in gold finish. Great for daily wear and gifting.,35.25,45.83,22,https://picsum.photos/seed/ring-0012/1200/1200,active,"ring,jewelry"
RING-0013,Classic Rose Gold Ring 13,classic-rose-gold-ring-13,Classic ring in rose gold finish. Great for daily wear and gifting.,37.10,48.23,23,https://picsum.photos/seed/ring-0013/1200/1200,active,"ring,jewelry"
RING-0014,Minimal Black Ring 14,minimal-black-ring-14,Minimal ring in black finish. Great for daily wear and gifting.,38.94,50.62,24,https://picsum.photos/seed/ring-0014/1200/1200,active,"ring,jewelry"
RING-0015,Modern Steel Ring 15,modern-steel-ring-15,Modern ring in steel finish. Great for daily wear and gifting.,40.78,53.01,25,https://picsum.photos/seed/ring-0015/1200/1200,active,"ring,jewelry"
RING-0016,Luxury Silver Ring 16,luxury-silver-ring-16,Luxury ring in silver finish. Great for daily wear and gifting.,42.62,55.41,26,https://picsum.photos/seed/ring-0016/1200/1200,active,"ring,jewelry"
RING-0017,Everyday Gold Ring 17,everyday-gold-ring-17,Everyday ring in gold finish. Great for daily wear and gifting.,44.46,57.80,27,https://picsum.photos/seed/ring-0017/1200/1200,active,"ring,jewelry"
RING-0018,Premium Rose Gold Ring 18,premium-rose-gold-ring-18,Premium ring in rose gold finish. Great for daily wear and gifting.,46.31,60.20,28,https://picsum.photos/seed/ring-0018/1200/1200,active,"ring,jewelry"
RING-0019,Classic Black Ring 19,classic-black-ring-19,Classic ring in black finish. Great for daily wear and gifting.,48.15,62.59,29,https://picsum.photos/seed/ring-0019/1200/1200,active,"ring,jewelry"
RING-0020,Minimal Steel Ring 20,minimal-steel-ring-20,Minimal ring in steel finish. Great for daily wear and gifting.,49.99,64.99,30,https://picsum.photos/seed/ring-0020/1200/1200,active,"ring,jewelry"
NECK-0001,Classic Silver Necklace 01,classic-silver-necklace-01,Classic necklace in silver finish. Great for daily wear and gifting.,19.99,25.99,11,https://picsum.photos/seed/neck-0001/1200/1200,active,"necklace,jewelry"
NECK-0002,Minimal Gold Necklace 02,minimal-gold-necklace-02,Minimal necklace in gold finish. Great for daily wear and gifting.,23.15,30.09,12,https://picsum.photos/seed/neck-0002/1200/1200,active,"necklace,jewelry"
NECK-0003,Modern Rose Gold Necklace 03,modern-rose-gold-necklace-03,Modern necklace in rose gold finish. Great for daily wear and gifting.,26.31,34.20,13,https://picsum.photos/seed/neck-0003/1200/1200,active,"necklace,jewelry"
NECK-0004,Luxury Black Necklace 04,luxury-black-necklace-04,Luxury necklace in black finish. Great for daily wear and gifting.,29.46,38.30,14,https://picsum.photos/seed/neck-0004/1200/1200,active,"necklace,jewelry"
NECK-0005,Everyday Steel Necklace 05,everyday-steel-necklace-05,Everyday necklace in steel finish. Great for daily wear and gifting.,32.62,42.41,15,https://picsum.photos/seed/neck-0005/1200/1200,active,"necklace,jewelry"
NECK-0006,Premium Silver Necklace 06,premium-silver-necklace-06,Premium necklace in silver finish. Great for daily wear and gifting.,35.78,46.51,16,https://picsum.photos/seed/neck-0006/1200/1200,active,"necklace,jewelry"
NECK-0007,Classic Gold Necklace 07,classic-gold-necklace-07,Classic necklace in gold finish. Great for daily wear and gifting.,38.94,50.62,17,https://picsum.photos/seed/neck-0007/1200/1200,active,"necklace,jewelry"
NECK-0008,Minimal Rose Gold Necklace 08,minimal-rose-gold-necklace-08,Minimal necklace in rose gold finish. Great for daily wear and gifting.,42.10,54.73,18,https://picsum.photos/seed/neck-0008/1200/1200,active,"necklace,jewelry"
NECK-0009,Modern Black Necklace 09,modern-black-necklace-09,Modern necklace in black finish. Great for daily wear and gifting.,45.25,58.83,19,https://picsum.photos/seed/neck-0009/1200/1200,active,"necklace,jewelry"
NECK-0010,Luxury Steel Necklace 10,luxury-steel-necklace-10,Luxury necklace in steel finish. Great for daily wear and gifting.,48.41,62.93,20,https://picsum.photos/seed/neck-0010/1200/1200,active,"necklace,jewelry"
NECK-0011,Everyday Silver Necklace 11,everyday-silver-necklace-11,Everyday necklace in silver finish. Great for daily wear and gifting.,51.57,67.04,21,https://picsum.photos/seed/neck-0011/1200/1200,active,"necklace,jewelry"
NECK-0012,Premium Gold Necklace 12,premium-gold-necklace-12,Premium necklace in gold finish. Great for daily wear and gifting.,54.73,71.15,22,https://picsum.photos/seed/neck-0012/1200/1200,active,"necklace,jewelry"
NECK-0013,Classic Rose Gold Necklace 13,classic-rose-gold-necklace-13,Classic necklace in rose gold finish. Great for daily wear and gifting.,57.88,75.24,23,https://picsum.photos/seed/neck-0013/1200/1200,active,"necklace,jewelry"
